,LATITUDE,LONGITUDE,NAME,DESCRIPTION
127,43.263994354275894,-79.88462640136545,Strathcona Elementary School,"Address: 10 Lamoreaux Street
Community: Hamilton
Category: Elementary School
School Board: Hamilton-Wentworth District School Board"
2,43.2694704663122,-79.88418485818046,Dundurn Castle,N/A
3,43.2681814437121,-79.88471105109906,Hamilton Military Museum,N/A
311,43.26302700308636,-79.88394637981347,Baseballball,Recreational Area: Lower HamiltonOwnership: City
312,43.26160955804411,-79.88423791628185,Baseballball,Recreational Area: Lower HamiltonOwnership: City
328,43.263402338116805,-79.88366688230067,Tennisball,Recreational Area: Lower HamiltonOwnership: City
329,43.26336480802402,-79.88348580799442,Tennisball,Recreational Area: Lower HamiltonOwnership: City
330,43.26332996814579,-79.88331866627459,Tennisball,Recreational Area: Lower HamiltonOwnership: City
331,43.26770270258198,-79.89061451636239,Baseballball,Recreational Area: Lower HamiltonOwnership: City
332,43.267273083921786,-79.89056638966716,Baseballball,Recreational Area: Lower HamiltonOwnership: City
333,43.26994054647127,-79.89115416485677,Soccerball,Recreational Area: Lower HamiltonOwnership: City
334,43.270936412728155,-79.89111510890717,Soccerball,Recreational Area: Lower HamiltonOwnership: City
335,43.271936505718664,-79.89098508175836,Soccerball,Recreational Area: Lower HamiltonOwnership: City
18,43.263145409778566,-79.88574314393841,St. Demetrios Greek Orthodox Church,"Denomination: Greek Orthodox
Address: 22 HEAD ST
Community: HAMILTON"
117,43.26573846844679,-79.88377896606264,Hamilton Christian Fellowship,"Denomination: Non-denominational
Address: 137 STRATHCONA AVE N
Community: HAMILTON"
174,43.26447481518189,-79.87509168206671,Hess St Baptist Mission,"Denomination: Baptist
Address: 179 HESS ST N
Community: HAMILTON"
183,43.263973621440265,-79.87854597648445,The Salvation Army - Ontario South Divisional Headquarters,"Denomination: Salvation Army
Address: 340 YORK BLVD
Community: HAMILTON"
205,43.26234160430533,-79.88133339682041,Zion United Church,"Denomination: United
Address: 69 PEARL ST N
Community: HAMILTON"
207,43.260819522087374,-79.8828010079291,King Street Baptist Church,"Denomination: Baptist
Address: 462 KING ST W
Community: HAMILTON"
220,43.264078372275975,-79.88676462321507,Our Lady Of Mercy Luthuanian Parish,"Denomination: Roman Catholic
Address: 58 DUNDURN ST N
Community: HAMILTON"
249,43.263662780111545,-79.89040919578416,Diocese Of Hamilton,"Denomination: Roman Catholic
Address: 700 KING ST W
Community: HAMILTON"
286,43.26379446813289,-79.88822293135385,Hamilton Chinese Alliance Church,"Denomination: Alliance
Address: 50 BREADALBANE ST
Community: HAMILTON"
287,43.26245138094986,-79.88164458195786,Livingston United Church (Korean),"Denomination: United
Address: 69 PEARL ST N
Community: HAMILTON"
305,43.26089207415185,-79.8826702026001,St. George's Anglican Reformed Church,"Denomination: Anglican
Address: 458 KING ST W
Community: HAMILTON"
310,43.26118418658431,-79.88201258327335,Erskine Presbyterian Church,"Denomination: Presbyterian
Address: 19 PEARL ST N
Community: HAMILTON"
